symbol,timestamp,row_index,open,high,low,close,volume,price_change,range,body,upper_wick,lower_wick,body_to_range_ratio,rsi_14,macd,atr_14,atr_21,atr_50,bb_position,volume_ratio,volume_ma_20,hour,minute,day_of_week,is_session_london,is_session_ny,is_session_overlap,1h_bias,4h_bias,liquidity_sweep_high_1m,liquidity_sweep_low_1m,liquidity_sweep_high_5m,liquidity_sweep_low_5m,choch_bullish_1m,choch_bearish_1m,gap_up_1m,gap_down_1m,gap_filled_1m,market_explosion_1m,market_explosion_strength,volume_imbalance_bullish_1m,volume_imbalance_bearish_1m,close_5m,volume_5m,trend_5m,close_15m,volume_15m,close_30m,volume_30m,close_1h,volume_1h,close_4h,volume_4h,liquidity_sweep_high_15m,liquidity_sweep_low_30m,liquidity_sweep_low_1h,trend_15m,liquidity_sweep_high_1h,choch_bearish_1h,liquidity_sweep_high_30m,choch_bearish_30m,choch_bullish_5m,liquidity_sweep_low_15m,trend_30m,choch_bearish_15m,choch_bullish_30m,trend_1h,choch_bearish_5m,choch_bullish_15m,trend_4h,pre_purge_atr_14,post_purge_atr_14,pre_purge_volume_avg,post_purge_volume_avg,pre_purge_volatility,post_purge_volatility,purge_count,purge_efficiency
XAUUSD,2024-01-01 00:50:00,50,1997.64,2008.46,1996.61,2006.57,2663.0,0.005053894854944563,11.850000000000136,8.929999999999836,1.8900000000001,1.0300000000002,0.7535864978902729,68.4184050615819,3.4168329094238743,5.1521428571428975,5.974285714285737,6.651400000000017,1.0724445669460752,0.8944345547979713,2977.3,0,50,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2007.16,14929.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:51:00,51,2008.09,2008.28,2004.35,2006.74,2499.0,8.472168925077739e-05,3.9300000000000637,1.349999999999909,0.19000000000005457,2.3900000000001,0.3435114503816507,68.5374961202323,4.218383952121485,5.100714285714324,5.961428571428606,6.648000000000016,0.9907724648635466,0.8517963051332742,2933.8,0,51,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2007.16,14929.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:52:00,52,2006.44,2007.79,1999.65,2000.0,3718.0,-0.003358681244207018,8.139999999999873,6.440000000000055,1.349999999999909,0.34999999999990905,0.7911547911548102,59.03287725060131,4.260643214040101,5.283571428571463,5.85571428571432,6.706400000000013,0.7842752736627864,1.2293144208037825,3024.45,0,52,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2007.16,14929.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,1.0,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:53:00,53,2000.91,2009.81,2000.3,2008.0,4889.0,0.0040000000000000036,9.509999999999991,7.089999999999918,1.8099999999999454,0.6100000000001273,0.7455310199789617,65.20142228772674,4.8833746219359,5.774285714285741,5.962380952380987,6.8270000000000115,0.9271181743722664,1.5552727851121362,3143.5,0,53,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2007.16,14929.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:54:00,54,2008.99,2009.36,2005.67,2007.16,1160.0,-0.00041832669322705573,3.689999999999827,1.8299999999999272,0.36999999999989086,1.490000000000009,0.495934959349597,64.10986601810819,5.248610059780958,5.735714285714299,5.629047619047642,6.775000000000005,0.8670945309082565,0.3869956129376637,2997.45,0,54,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2007.16,14929.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,1.0,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:55:00,55,2007.52,2007.53,2000.04,2002.96,5405.0,-0.002092508818430039,7.490000000000009,4.559999999999945,0.009999999999990905,2.9200000000000728,0.6088117489986569,58.808544128667684,5.139907225502384,5.846428571428581,5.799523809523829,6.858400000000006,0.740896116179931,1.7108490939305214,3159.25,0,55,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2003.5,16624.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:56:00,56,2002.7,2004.58,2002.65,2003.41,3775.0,0.00022466749211180748,1.9299999999998363,0.7100000000000364,1.1699999999998454,0.049999999999954525,0.36787564766844383,59.19784938450132,5.032064181831174,5.619999999999989,5.453333333333343,6.701800000000003,0.7310367055249224,1.178453806171664,3203.35,0,56,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2003.5,16624.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:57:00,57,2002.03,2005.83,2001.93,2003.55,4036.0,6.988085314540982e-05,3.8999999999998636,1.5199999999999818,2.2799999999999727,0.09999999999990905,0.38974358974359874,59.32664270853106,4.901394399104902,5.027142857142833,5.286666666666666,6.6352,0.7137592123047809,1.277599278264035,3159.05,0,57,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2003.5,16624.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:58:00,58,2004.56,2004.73,2000.93,2001.22,2222.0,-0.0011629357889745284,3.7999999999999545,3.339999999999918,0.17000000000007276,0.2899999999999636,0.8789473684210416,56.14997053471522,4.5572924964094454,4.945714285714254,5.246190476190469,6.63,0.6317938100989524,0.6933890873913654,3204.55,0,58,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2003.5,16624.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
XAUUSD,2024-01-01 00:59:00,59,2000.94,2005.19,1999.82,2003.5,1186.0,0.001139305023935444,5.370000000000118,2.5599999999999454,1.6900000000000546,1.1200000000001182,0.4767225325884337,58.49213113919197,4.417642373256058,4.966428571428553,5.236190476190478,6.5588000000000015,0.6803979501641414,0.37057288818759865,3200.45,0,59,0,False,False,False,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2003.5,16624.0,1,2003.5,49199.0,2003.5,89465.0,2003.5,198962.0,2021.61,852363.1058812081,,,,,,,,,,,,,,,,,,9.044786760322737,9.473330600616997,4789.619195473812,4771.163254571151,0,0,602,1.0473802038290363
