time,open,high,low,close,volume
2023-08-01 00:00:00,1.09986,1.10093,1.09841,1.09969,1000
2023-08-01 00:05:00,1.10077,1.10167,1.09919,1.10167,1001
2023-08-01 00:10:00,1.10042,1.10123,1.09987,1.10123,1002
2023-08-01 00:15:00,1.09983,1.10123,1.09946,1.10034,1003
2023-08-01 00:20:00,1.1005,1.10227,1.09877,1.10119,1004
2023-08-01 00:25:00,1.10084,1.10194,1.09886,1.10148,1005
2023-08-01 00:30:00,1.1001,1.10194,1.09962,1.10068,1006
2023-08-01 00:35:00,1.10078,1.10159,1.09895,1.10159,1007
2023-08-01 00:40:00,1.1001,1.10075,1.09861,1.10075,1008
2023-08-01 00:45:00,1.1006,1.10201,1.09955,1.10043,1009
2023-08-01 00:50:00,1.10057,1.10194,1.10025,1.10089,1010
2023-08-01 00:55:00,1.10014,1.10125,1.09815,1.10105,1011
2023-08-01 01:00:00,1.10044,1.10194,1.09872,1.10024,1012
2023-08-01 01:05:00,1.09996,1.10065,1.09945,1.09945,1013
2023-08-01 01:10:00,1.10052,1.10181,1.09987,1.09987,1014
2023-08-01 01:15:00,1.1005,1.1016,1.09984,1.10047,1015
2023-08-01 01:20:00,1.10049,1.10195,1.0999,1.1011,1016
2023-08-01 01:25:00,1.10007,1.10125,1.09903,1.10125,1017
2023-08-01 01:30:00,1.10053,1.10224,1.09997,1.1015,1018
2023-08-01 01:35:00,1.10038,1.10126,1.0987,1.10126,1019
2023-08-01 01:40:00,1.10067,1.1014,1.09883,1.10066,1020
2023-08-01 01:45:00,1.09971,1.10112,1.09869,1.10042,1021
2023-08-01 01:50:00,1.09998,1.10136,1.09977,1.09994,1022
2023-08-01 01:55:00,1.10042,1.10163,1.10028,1.10137,1023
2023-08-01 02:00:00,1.10044,1.10229,1.09888,1.10064,1024
2023-08-01 02:05:00,1.09975,1.10139,1.09819,1.09899,1025
2023-08-01 02:10:00,1.10032,1.102,1.0991,1.09979,1026
2023-08-01 02:15:00,1.09992,1.10076,1.09948,1.10076,1027
2023-08-01 02:20:00,1.1008,1.10099,1.10001,1.10041,1028
2023-08-01 02:25:00,1.10019,1.10202,1.10007,1.10111,1029
2023-08-01 02:30:00,1.09987,1.10108,1.09838,1.09945,1030
2023-08-01 02:35:00,1.1002,1.10077,1.1,1.10077,1031
2023-08-01 02:40:00,1.10059,1.10195,1.09929,1.10135,1032
2023-08-01 02:45:00,1.10039,1.10111,1.09949,1.09949,1033
2023-08-01 02:50:00,1.10002,1.10046,1.09877,1.10045,1034
2023-08-01 02:55:00,1.10049,1.10214,1.10047,1.10131,1035
2023-08-01 03:00:00,1.10067,1.1014,1.10067,1.10073,1036
2023-08-01 03:05:00,1.10048,1.10122,1.09923,1.10122,1037
2023-08-01 03:10:00,1.10051,1.1013,1.09929,1.09963,1038
2023-08-01 03:15:00,1.10046,1.10245,1.09956,1.09956,1039
2023-08-01 03:20:00,1.09989,1.10014,1.09882,1.09882,1040
2023-08-01 03:25:00,1.09973,1.10134,1.09853,1.09995,1041
2023-08-01 03:30:00,1.10004,1.10125,1.09889,1.09957,1042
2023-08-01 03:35:00,1.1005,1.10094,1.09928,1.09952,1043
2023-08-01 03:40:00,1.09997,1.10111,1.09898,1.09998,1044
2023-08-01 03:45:00,1.10023,1.1007,1.09912,1.09975,1045
2023-08-01 03:50:00,1.10049,1.10216,1.09975,1.09975,1046
2023-08-01 03:55:00,1.09982,1.1004,1.09874,1.09874,1047
2023-08-01 04:00:00,1.09988,1.10059,1.09806,1.09921,1048
2023-08-01 04:05:00,1.10035,1.10126,1.09999,1.10019,1049
2023-08-01 04:10:00,1.09987,1.10122,1.09847,1.10067,1050
2023-08-01 04:15:00,1.10076,1.10269,1.09993,1.10004,1051
2023-08-01 04:20:00,1.09988,1.10129,1.09816,1.10019,1052
2023-08-01 04:25:00,1.10028,1.10046,1.09926,1.09926,1053
2023-08-01 04:30:00,1.10026,1.10151,1.10012,1.1008,1054
2023-08-01 04:35:00,1.10018,1.10091,1.09928,1.09928,1055
2023-08-01 04:40:00,1.10033,1.10185,1.10009,1.10053,1056
2023-08-01 04:45:00,1.10052,1.10228,1.09933,1.09982,1057
2023-08-01 04:50:00,1.10015,1.10149,1.09852,1.09905,1058
2023-08-01 04:55:00,1.10051,1.10073,1.10038,1.10038,1059
2023-08-01 05:00:00,1.1011,1.10219,1.10043,1.10043,1060
2023-08-01 05:05:00,1.10101,1.10199,1.09938,1.10154,1061
2023-08-01 05:10:00,1.10139,1.1022,1.09947,1.10131,1062
2023-08-01 05:15:00,1.10075,1.10129,1.09979,1.1004,1063
2023-08-01 05:20:00,1.10129,1.1022,1.10018,1.10141,1064
2023-08-01 05:25:00,1.10107,1.10298,1.10026,1.10133,1065
2023-08-01 05:30:00,1.10086,1.10285,1.09943,1.10029,1066
2023-08-01 05:35:00,1.10139,1.10264,1.10097,1.10097,1067
2023-08-01 05:40:00,1.10097,1.10241,1.09984,1.10189,1068
2023-08-01 05:45:00,1.10093,1.10113,1.0992,1.10048,1069
2023-08-01 05:50:00,1.10051,1.10222,1.0996,1.1005,1070
2023-08-01 05:55:00,1.10064,1.10108,1.09876,1.10063,1071
2023-08-01 06:00:00,1.10125,1.10313,1.09986,1.10225,1072
2023-08-01 06:05:00,1.10149,1.10318,1.10087,1.10229,1073
2023-08-01 06:10:00,1.10097,1.10267,1.10057,1.10159,1074
2023-08-01 06:15:00,1.10076,1.10137,1.09939,1.10008,1075
2023-08-01 06:20:00,1.10103,1.10245,1.09976,1.10204,1076
2023-08-01 06:25:00,1.10129,1.10244,1.09941,1.10244,1077
2023-08-01 06:30:00,1.10084,1.1017,1.10022,1.10133,1078
2023-08-01 06:35:00,1.1013,1.10325,1.10016,1.10107,1079
2023-08-01 06:40:00,1.10049,1.10136,1.09956,1.09956,1080
2023-08-01 06:45:00,1.10054,1.1016,1.09917,1.10027,1081
2023-08-01 06:50:00,1.10125,1.10167,1.09943,1.10167,1082
2023-08-01 06:55:00,1.101,1.10158,1.10046,1.10158,1083
2023-08-01 07:00:00,1.10061,1.10231,1.09884,1.10158,1084
2023-08-01 07:05:00,1.1005,1.10082,1.09993,1.09993,1085
2023-08-01 07:10:00,1.10132,1.10218,1.10054,1.10118,1086
2023-08-01 07:15:00,1.10123,1.10242,1.1003,1.10082,1087
2023-08-01 07:20:00,1.10099,1.10258,1.1007,1.10119,1088
2023-08-01 07:25:00,1.1004,1.10152,1.1,1.1004,1089
2023-08-01 07:30:00,1.10124,1.10231,1.10113,1.10215,1090
2023-08-01 07:35:00,1.10059,1.1014,1.10005,1.10098,1091
2023-08-01 07:40:00,1.10065,1.10131,1.09985,1.09985,1092
2023-08-01 07:45:00,1.10073,1.10244,1.10064,1.10089,1093
