time,open,high,low,close,volume
2023-08-01 00:00:00,1.25096,1.25266,1.2503,1.2503,1200
2023-08-01 00:05:00,1.25077,1.2532,1.24857,1.25148,1201
2023-08-01 00:10:00,1.24987,1.25156,1.24987,1.24994,1202
2023-08-01 00:15:00,1.24984,1.25216,1.24786,1.24926,1203
2023-08-01 00:20:00,1.2506,1.25255,1.24835,1.24993,1204
2023-08-01 00:25:00,1.25018,1.25261,1.2477,1.25135,1205
2023-08-01 00:30:00,1.2497,1.2523,1.24886,1.24886,1206
2023-08-01 00:35:00,1.24991,1.25251,1.24811,1.25041,1207
2023-08-01 00:40:00,1.25016,1.25263,1.24899,1.25103,1208
2023-08-01 00:45:00,1.25069,1.25084,1.24878,1.25079,1209
2023-08-01 00:50:00,1.25049,1.25188,1.24828,1.25188,1210
2023-08-01 00:55:00,1.24985,1.25131,1.24758,1.24997,1211
2023-08-01 01:00:00,1.25012,1.25296,1.24812,1.25119,1212
2023-08-01 01:05:00,1.25103,1.2521,1.25063,1.25063,1213
2023-08-01 01:10:00,1.25115,1.25358,1.24926,1.25119,1214
2023-08-01 01:15:00,1.24992,1.25096,1.24872,1.25096,1215
2023-08-01 01:20:00,1.25004,1.2503,1.24923,1.24923,1216
2023-08-01 01:25:00,1.25035,1.25042,1.24923,1.2495,1217
2023-08-01 01:30:00,1.25002,1.25121,1.24763,1.25106,1218
2023-08-01 01:35:00,1.25064,1.25118,1.24784,1.25118,1219
2023-08-01 01:40:00,1.25131,1.25361,1.2507,1.2517,1220
2023-08-01 01:45:00,1.24998,1.25134,1.24957,1.25134,1221
2023-08-01 01:50:00,1.25085,1.25359,1.24866,1.25155,1222
2023-08-01 01:55:00,1.24999,1.25252,1.24768,1.24903,1223
2023-08-01 02:00:00,1.25039,1.25196,1.24758,1.25055,1224
2023-08-01 02:05:00,1.25033,1.25231,1.24812,1.25091,1225
2023-08-01 02:10:00,1.25033,1.25319,1.2497,1.24978,1226
2023-08-01 02:15:00,1.25137,1.25433,1.25075,1.25102,1227
2023-08-01 02:20:00,1.25139,1.25196,1.2488,1.25021,1228
2023-08-01 02:25:00,1.25116,1.25415,1.24855,1.25038,1229
2023-08-01 02:30:00,1.25093,1.25274,1.24887,1.25003,1230
2023-08-01 02:35:00,1.25093,1.25328,1.24925,1.25023,1231
2023-08-01 02:40:00,1.25051,1.25083,1.24847,1.25033,1232
2023-08-01 02:45:00,1.25025,1.2512,1.24868,1.24868,1233
2023-08-01 02:50:00,1.25036,1.25158,1.24931,1.25158,1234
2023-08-01 02:55:00,1.25035,1.25197,1.24766,1.25162,1235
2023-08-01 03:00:00,1.25036,1.25283,1.24867,1.24901,1236
2023-08-01 03:05:00,1.24965,1.25165,1.24864,1.24966,1237
2023-08-01 03:10:00,1.2496,1.25034,1.24918,1.25034,1238
2023-08-01 03:15:00,1.25081,1.25123,1.25052,1.25052,1239
2023-08-01 03:20:00,1.2511,1.25341,1.25044,1.2506,1240
2023-08-01 03:25:00,1.24984,1.25071,1.24967,1.24967,1241
2023-08-01 03:30:00,1.25034,1.25145,1.2495,1.25038,1242
2023-08-01 03:35:00,1.24996,1.252,1.24821,1.25046,1243
2023-08-01 03:40:00,1.25066,1.25093,1.2488,1.2495,1244
2023-08-01 03:45:00,1.25126,1.25345,1.24885,1.25076,1245
2023-08-01 03:50:00,1.25058,1.25224,1.24915,1.25121,1246
2023-08-01 03:55:00,1.25116,1.252,1.24999,1.24999,1247
2023-08-01 04:00:00,1.25087,1.25158,1.24916,1.25041,1248
2023-08-01 04:05:00,1.25053,1.25128,1.24975,1.25128,1249
2023-08-01 04:10:00,1.24986,1.25,1.24933,1.24992,1250
2023-08-01 04:15:00,1.25055,1.25323,1.24793,1.24916,1251
2023-08-01 04:20:00,1.25038,1.25161,1.25036,1.25161,1252
2023-08-01 04:25:00,1.25112,1.25386,1.25094,1.2521,1253
2023-08-01 04:30:00,1.25105,1.25336,1.24983,1.25054,1254
2023-08-01 04:35:00,1.25109,1.25268,1.2501,1.2501,1255
2023-08-01 04:40:00,1.25091,1.25098,1.24796,1.25098,1256
2023-08-01 04:45:00,1.25045,1.25052,1.24998,1.25052,1257
2023-08-01 04:50:00,1.25095,1.25253,1.24862,1.24962,1258
2023-08-01 04:55:00,1.25068,1.2531,1.24833,1.25155,1259
2023-08-01 05:00:00,1.25097,1.25327,1.25086,1.25129,1260
2023-08-01 05:05:00,1.25152,1.25281,1.24955,1.25281,1261
2023-08-01 05:10:00,1.25162,1.25296,1.24869,1.25023,1262
