timestamp,open,high,low,close,volume
2024-01-01 00:00:00,1.1050,1.1055,1.1045,1.1052,1500
2024-01-01 00:05:00,1.1052,1.1058,1.1050,1.1056,1300
2024-01-01 00:10:00,1.1056,1.1062,1.1054,1.1060,1800
2024-01-01 00:15:00,1.1060,1.1065,1.1058,1.1063,1600
2024-01-01 00:20:00,1.1063,1.1070,1.1061,1.1068,2000
2024-01-01 00:25:00,1.1068,1.1075,1.1066,1.1072,1700
2024-01-01 00:30:00,1.1072,1.1078,1.1070,1.1076,1900
2024-01-01 00:35:00,1.1076,1.1080,1.1074,1.1079,1400
2024-01-01 00:40:00,1.1079,1.1085,1.1077,1.1083,2200
2024-01-01 00:45:00,1.1083,1.1088,1.1081,1.1086,1800
2024-01-01 00:50:00,1.1086,1.1090,1.1084,1.1089,1500
2024-01-01 00:55:00,1.1089,1.1095,1.1087,1.1092,1900
2024-01-01 01:00:00,1.1092,1.1098,1.1090,1.1095,2100
2024-01-01 01:05:00,1.1095,1.1100,1.1093,1.1098,1700
2024-01-01 01:10:00,1.1098,1.1105,1.1096,1.1102,2300
2024-01-01 01:15:00,1.1102,1.1108,1.1100,1.1106,2000
2024-01-01 01:20:00,1.1106,1.1110,1.1104,1.1108,1600
2024-01-01 01:25:00,1.1108,1.1115,1.1106,1.1112,2400
2024-01-01 01:30:00,1.1112,1.1118,1.1110,1.1116,2100
2024-01-01 01:35:00,1.1116,1.1120,1.1114,1.1119,1800
2024-01-01 01:40:00,1.1119,1.1125,1.1117,1.1122,2000
2024-01-01 01:45:00,1.1122,1.1128,1.1120,1.1126,1900
2024-01-01 01:50:00,1.1126,1.1130,1.1124,1.1129,1700
2024-01-01 01:55:00,1.1129,1.1135,1.1127,1.1132,2200
2024-01-01 02:00:00,1.1132,1.1138,1.1130,1.1136,2000
